Method,Schema,Dataset,Metric,F1,Precision,Recall
HyperTimesNet,mts,machine-1,event-based f1 under pa with mode log,0.5371817917413698,0.5099699172947929,0.7142225273720957
HyperTimesNet,mts,machine-1,event-based f1 under pa with mode squeeze,0.35496994852835934,0.36321135461760456,0.5427770146520146
HyperTimesNet,mts,machine-2,best f1 under pa,0.9239395044670391,0.884468417266734,0.9717954952324658
HyperTimesNet,mts,machine-2,event-based f1 under pa with mode log,0.4319759709306463,0.32424097443254446,0.8903477286810619
HyperTimesNet,mts,machine-2,event-based f1 under pa with mode squeeze,0.2556122021749499,0.44057394026462093,0.5638074888074887
HyperTimesNet,mts,machine-3,best f1 under pa,0.8636300928863623,0.8301517613315826,0.9390484922180914
HyperTimesNet,mts,machine-3,event-based f1 under pa with mode log,0.4692029063566218,0.6002575751879271,0.5946680965737227
HyperTimesNet,mts,machine-3,event-based f1 under pa with mode squeeze,0.34881704227405663,0.5573290459669608,0.40313095994914167
LightMMoE,mts,machine-1,best f1 under pa,0.8936190059257334,0.9059888445796975,0.9092727283169537
LightMMoE,mts,machine-1,event-based f1 under pa with mode log,0.6690655459301159,0.7361947223007086,0.6910153104352567
LightMMoE,mts,machine-1,event-based f1 under pa with mode squeeze,0.5572936347278447,0.5654829545454545,0.657967032967033
LightMMoE,mts,machine-2,best f1 under pa,0.9779587221771069,0.9691906377815158,0.9874849888515449
LightMMoE,mts,machine-2,event-based f1 under pa with mode log,0.8263490677818238,0.8396805907537586,0.8390505890505892
LightMMoE,mts,machine-2,event-based f1 under pa with mode squeeze,0.726788693329791,0.7232482761468267,0.7774910274910273
LightMMoE,mts,machine-3,best f1 under pa,0.930666419688187,0.9486540011692476,0.9272135906774804
LightMMoE,mts,machine-3,event-based f1 under pa with mode log,0.7673078197591569,0.8343119599698546,0.7447517697063976
LightMMoE,mts,machine-3,event-based f1 under pa with mode squeeze,0.6559854991222367,0.7344411860540891,0.6799480822208094
MAAT,mts,machine-1,best f1 under pa,0.7759380606523023,0.7668665729915501,0.8275577448231549
MAAT,mts,machine-1,event-based f1 under pa with mode log,0.3927297806171888,0.6305488585594421,0.34963364089752286
MAAT,mts,machine-1,event-based f1 under pa with mode squeeze,0.28439060939060895,0.6573051948051944,0.22119963369963366
MAAT,mts,machine-2,best f1 under pa,0.8243747129600465,0.8890465986746978,0.7987554161444128
MAAT,mts,machine-2,event-based f1 under pa with mode log,0.4638731839370295,0.6014642761143362,0.4670065914510359
MAAT,mts,machine-2,event-based f1 under pa with mode squeeze,0.3849161037566829,0.6885064412238322,0.3444666444666443
MAAT,mts,machine-3,best f1 under pa,0.8845063223941491,0.9364655490351783,0.8527689094414359
MAAT,mts,machine-3,event-based f1 under pa with mode log,0.53507443827195,0.6393359552866521,0.5187386569872958
MAAT,mts,machine-3,event-based f1 under pa with mode squeeze,0.4065167744543302,0.5836063989174035,0.36152256834075014
MTSExample,mts,machine-1,best f1 under pa,0.8908859684948505,0.9193002665633574,0.8906491423210176
MTSExample,mts,machine-1,event-based f1 under pa with mode log,0.6968462238011739,0.8320895335718481,0.6720327173980418
MTSExample,mts,machine-1,event-based f1 under pa with mode squeeze,0.5980010973250769,0.6885375784929356,0.6363324175824175
MTSExample,mts,machine-2,best f1 under pa,0.9797780498908961,0.9760160020615047,0.984001881920162
MTSExample,mts,machine-2,event-based f1 under pa with mode log,0.8354945837498057,0.8661447551937195,0.8284068500735168
MTSExample,mts,machine-2,event-based f1 under pa with mode squeeze,0.7398678550847806,0.8156885090218422,0.7517214267214266
MTSExample,mts,machine-3,best f1 under pa,0.9392349274212389,0.9853481810603981,0.9037568966148402
MTSExample,mts,machine-3,event-based f1 under pa with mode log,0.7685030766970358,0.8180093461926841,0.7661728773344018
MTSExample,mts,machine-3,event-based f1 under pa with mode squeeze,0.6542157845057526,0.7230452296241768,0.6769177791905063
MTSMixerLighter,mts,machine-1,best f1 under pa,0.9174507712272812,0.9556504649538926,0.8929127033425235
MTSMixerLighter,mts,machine-1,event-based f1 under pa with mode log,0.5733767845710669,0.5141221632507975,0.7639017992199019
MTSMixerLighter,mts,machine-1,event-based f1 under pa with mode squeeze,0.39272666008657986,0.482297348832169,0.6260760073260073
MTSMixerLighter,mts,machine-2,best f1 under pa,0.9374748464871683,0.9059890499440554,0.9771766662895867
MTSMixerLighter,mts,machine-2,event-based f1 under pa with mode log,0.6525290607781778,0.6818109855622322,0.7991966569744348
MTSMixerLighter,mts,machine-2,event-based f1 under pa with mode squeeze,0.579503693455583,0.8036305571723907,0.6158748658748657
MTSMixerLighter,mts,machine-3,best f1 under pa,0.9255090233475446,0.9216773055060057,0.9430293105668295
MTSMixerLighter,mts,machine-3,event-based f1 under pa with mode log,0.673486757473074,0.7225981592588838,0.6873901053574374
MTSMixerLighter,mts,machine-3,event-based f1 under pa with mode squeeze,0.5625123414597093,0.6917539759295076,0.5770873066327611
MTSTimesNet,mts,machine-1,best f1 under pa,0.7411227679111594,0.7289464519839611,0.7830095722661471
MTSTimesNet,mts,machine-1,event-based f1 under pa with mode log,0.22545607457788663,0.6248604652916839,0.2369085612957207
MTSTimesNet,mts,machine-1,event-based f1 under pa with mode squeeze,0.1669817568939499,0.6276230648282529,0.12226419413919412
MTSTimesNet,mts,machine-2,best f1 under pa,0.8186830325552944,0.8156210294828856,0.8635997902320917
MTSTimesNet,mts,machine-2,event-based f1 under pa with mode log,0.32619679222859715,0.5557204418994647,0.3484806723695612
MTSTimesNet,mts,machine-2,event-based f1 under pa with mode squeeze,0.2670145903479233,0.7555865921787703,0.24682262182262166
MTSTimesNet,mts,machine-3,best f1 under pa,0.7636655020284181,0.7785944095761436,0.7993659223541472
MTSTimesNet,mts,machine-3,event-based f1 under pa with mode log,0.4491110518012183,0.8607174216930313,0.3606537896465301
MTSTimesNet,mts,machine-3,event-based f1 under pa with mode squeeze,0.36633543224452275,0.8405729022750293,0.30932930705657974
NewTimesNet,mts,machine-1,best f1 under pa,0.9050894205575211,0.8969694682076619,0.9213512051223952
NewTimesNet,mts,machine-1,event-based f1 under pa with mode log,0.5465658726698981,0.5037108557828118,0.7398046352152329
NewTimesNet,mts,machine-1,event-based f1 under pa with mode squeeze,0.35280603884939554,0.3404498619172532,0.5787889194139194
NewTimesNet,mts,machine-2,best f1 under pa,0.9259335838542141,0.8799548513693666,0.9815295229371834
NewTimesNet,mts,machine-2,event-based f1 under pa with mode log,0.4434352087969866,0.3339687293776013,0.9008224891558224
NewTimesNet,mts,machine-2,event-based f1 under pa with mode squeeze,0.2709128613631891,0.31354269808582513,0.599161024161024
